" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"05205 SANCHORREJA",         104,    10736.23,       93.96,     2716.28,         2.2,     9884.28,    3537.138,         104,           3,          32,  952974.479,
,"05206 SAN ESTEBAN DE LOS PATOS",          67,     3098.61,      463.88,     1490.71,        0.12,     2635.76,     936.024,          69,           2,          14,  311758.974,
,"05207 SAN ESTEBAN DEL VALLE",        1024,    10673.32,      644.34,     3206.95,      136.85,     5431.98,     735.767,        1578,           1,         594,  715829.506,
,"05208 SAN ESTEBAN DE ZAPARDIEL",         105,     3400.37,     2220.75,     2574.02,      686.08,      3371.1,     575.044,          93,           5,          67, 1166012.979,
,"05209 SAN GARCIA DE INGELMOS",         165,      9950.5,     1885.71,     4282.46,        5.31,     9139.07,    4938.416,         140,           7,          40, 1385508.751,
,"05210 SAN JUAN DE LA ENCINILLA",         152,     4950.75,     2753.24,      4466.8,        3.75,     4886.55,     1584.23,         116,           1,          46,  956475.085,
,"05211 SAN JUAN DE LA NAVA",         866,    13888.77,      177.18,     3899.68,        8.05,     9861.94,    4544.725,         826,           2,         142, 1058603.752,
,"05212 SAN JUAN DEL MOLINILLO",         390,    13325.52,       54.73,     2269.57,     1651.85,     7703.34,     2497.16,         454,           1,         183,  841853.079,
,"05213 SAN JUAN DEL OLMO",         213,     7935.69,       42.52,      1514.2,       81.68,     6677.57,    3238.374,         199,           3,          31, 1280361.341,
,"05214 SAN LORENZO DE TORMES",         113,     1815.17,       45.86,      330.39,       18.99,      1274.3,     594.964,         114,           3,          26,  183629.567,
,"05215 SAN MARTIN DE LA VEGA DEL ALBERCHE",         335,    13010.17,      496.17,     4760.66,      255.61,    11260.42,    3416.311,         375,           4,          69, 1451463.639,
,"05216 SAN MARTIN DEL PIMPOLLAR",         188,    11042.94,       26.52,     2673.87,        64.4,     8440.79,    5730.747,         203,           4,          94,  979810.897,
,"05217 SAN MIGUEL DE CORNEJA",         130,     2240.21,       16.55,      667.63,       34.02,     2043.68,    1165.752,         112,           6,          31,  329625.562,
,"05218 SAN MIGUEL DE SERREZUELA",         333,      7157.1,      415.33,     2650.78,        4.62,     6459.14,     4824.91,         324,           2,          48, 1222023.742,
,"05219 SAN PASCUAL",          88,     3841.75,     1835.21,     2685.45,      122.39,     3301.04,     995.786,          76,           5,          52,  687183.269,
,"05220 SAN PEDRO DEL ARROYO",         148,     5001.13,     2993.79,     4608.76,       26.84,      4910.4,     1983.83,         127,           6,          71,  1261895.72,
,"05221 SANTA CRUZ DEL VALLE",         378,     6115.56,      325.78,     1039.54,      113.48,     2094.85,     194.712,         613,           1,         262,  464176.769,
,"05222 SANTA CRUZ DE PINARES",         238,    12218.25,       86.85,     3790.08,         4.4,    10032.58,    4694.777,         240,           5,          22,  1845285.23,
,"05224 SANTA MARIA DEL ARROYO",          91,     3351.51,     1461.47,      2727.9,        3.02,     3110.07,    4266.739,          80,           9,          38,  849502.462,
,"05225 SANTA MARIA DEL BERROCAL",         304,     7377.12,      919.44,     3198.68,       18.13,      6939.4,    2760.664,         323,           1,          48,  992875.931,
,"05226 SANTA MARIA DE LOS CABALLEROS",         233,     5039.88,      117.64,     1752.61,       43.34,     4586.75,    2589.267,         200,           5,          75,  684272.319,
,"05227 SANTA MARIA DEL TIETAR",         210,     1631.61,      180.21,       368.4,       13.13,      1088.2,     703.741,         255,           5,          37,  427110.252,
,"05228 SANTIAGO DEL COLLADO",         260,    11583.29,       49.69,     2994.07,       66.96,     9455.81,    7130.336,         258,           3,         154, 1914841.497,
,"05229 SANTO DOMINGO DE LAS POSADAS",         126,     3471.07,      2074.6,     3336.32,       16.19,     3435.46,     761.007,          97,           4,          36,  724624.369,
,"05230 SANTO TOME DE ZABARCOS",          83,     2233.48,     1386.95,        2063,       14.73,     2196.44,    1592.299,          74,           4,          52,  759291.032,
,"05231 SAN VICENTE DE AREVALO",         167,     4422.16,     1980.98,     2492.68,      866.41,     3416.09,     427.781,         150,           1,          99, 1084478.348,
,"05232 SERRADA (LA)",          97,     1974.28,      960.49,     1537.27,       20.98,     1929.53,     840.588,          92,           5,          35,   392062.56,
,"05233 SERRANILLOS",         236,     4415.72,       30.72,      288.27,       36.26,     1658.12,     907.538,         309,           4,          44,  452479.434,
,"05234 SIGERES",          92,     3217.56,     1703.24,     2856.04,        2.01,     3065.57,    1410.613,          83,           2,          56,  777908.579,
,"05235 SINLABAJOS",         200,     4918.88,     2891.77,     3956.02,      803.18,     4886.46,    1151.379,         183,           2,          99, 1325249.604,
,"05236 SOLANA DE AVILA",         204,     14437.8,       52.47,     1673.86,       75.81,    13729.55,    2518.522,         186,           8,          61, 2106242.225,
,"05237 SOLANA DE RIOALMAR",         227,    11031.55,     3178.14,     6585.27,          10,    10111.83,    2922.152,         199,           2,          60, 1643107.759,
,"05238 SOLOSANCHO",         800,    14166.09,     2034.21,     6845.85,       93.49,    12271.52,    5122.024,         743,           9,         210, 2103153.633,
,"05239 SOTALBO",         197,    18850.28,     1483.15,     3899.38,       67.15,    18303.59,    2567.799,         143,           8,         101,  1050341.63,
,"05240 SOTILLO DE LA ADRADA",        1257,     9415.53,     1142.24,     2664.94,        83.1,     4753.15,    1504.395,        1573,           8,         318, 1251921.005,
,"05241 TIEMBLO (EL)",        1320,    14046.82,      688.77,      2292.8,       81.32,     5565.01,    3298.716,        1588,          12,         252, 1280939.372,
,"05242 TIÑOSILLOS",         170,     6665.47,      846.86,     1069.91,      198.31,      1313.8,    1088.914,         160,           3,          54,  693099.907,
,"05243 TOLBAÑOS",         203,     14148.9,     3535.97,     7208.64,         3.9,    11238.43,    3137.853,         199,           6,          41, 1480393.046,
,"05244 TORMELLAS",         167,     2351.64,      110.14,      762.72,      150.01,     1679.82,    1347.084,         161,           1,          97,  465410.737,
,"05245 TORNADIZOS DE AVILA",         215,    22636.53,      314.68,      5558.4,       45.49,    21867.49,    9723.061,         190,          18,          47, 2344872.943,
,"05246 TORTOLES",         170,     3957.16,      254.42,      804.25,          11,     3500.87,     1549.39,         162,           3,          55,   495766.06,
,"05247 TORRE (LA)",         397,     14619.5,     2573.16,     6651.11,      119.86,    11740.92,     6234.86,         420,          12,         123, 2336902.392,
,"05249 UMBRIAS",         128,     2889.24,       25.29,      440.14,       81.37,     2403.93,    1337.704,         157,           3,          84,  445354.756,
,"05251 VADILLO DE LA SIERRA",         368,     7855.27,        3.14,     1290.42,        1.68,      7603.3,    2640.414,         372,           1,          29,  760769.462,
,"05252 VALDECASA",         136,     8075.65,      305.09,     2349.93,        9.72,     6993.49,     3723.67,         118,           3,          20, 1224587.753,
,"05253 VEGA DE SANTA MARIA",         126,     4653.33,     2800.02,     4264.04,        6.86,      4563.7,     873.782,         129,           7,          52,  924425.577,
,"05254 VELAYOS",         139,     5170.87,     3446.71,     4807.44,      195.61,     5089.83,      380.18,         117,           7,          71, 1100234.906,
,"05256 VILLAFLOR",         156,     5407.29,     2416.68,     4293.95,       37.13,     4748.77,    1717.533,         141,           2,          70,  992928.881,
,"05257 VILLAFRANCA DE LA SIERRA",         150,     6843.16,      702.16,     1198.23,       81.53,     4379.36,    1975.602,         145,           4,          76,  768080.307,
,"05258 VILLANUEVA DE GOMEZ",          89,     5191.14,      2452.3,     3551.22,       18.54,     3587.07,    2216.023,          74,           2,          46,  632477.253,
,"05259 VILLANUEVA DEL ACERAL",         107,     4228.88,     2781.06,     4016.99,      133.91,     4208.76,    1329.598,          92,           4,          76, 1076115.295,
,"05260 VILLANUEVA DEL CAMPILLO",         444,     8167.12,        0.14,     1621.57,        0.19,     6602.88,    2647.479,         437,           1,          21,  873359.265,
,"05261 VILLAR DE CORNEJA",         114,     1440.88,       87.61,      369.13,        1.33,     1419.43,     568.567,         112,           1,           9,  193391.199,
,"05262 VILLAREJO DEL VALLE",         435,     12446.7,      404.85,     1790.65,       55.91,     4890.62,     677.011,         775,           8,         312,   504538.58,
,"05263 VILLATORO",         303,    12881.87,      285.28,     2336.53,      147.78,    12566.48,    4307.219,         290,           3,          69, 1056081.103,
,"05264 VIÑEGRA DE MORAÑA",         111,     2667.19,     1617.95,     2514.72,        7.05,     2646.26,     894.789,          87,           2,          56,  627528.074,
,"05265 VITA",          99,     3875.45,     1922.03,     3516.78,        3.06,     3837.86,    2300.712,          90,           2,          62, 1067376.028,
,"05266 ZAPARDIEL DE LA CAÑADA",         210,      9902.6,      362.27,     3012.04,       75.57,     8932.22,    4836.138,         211,          28,          54,  1311333.41,
,"05267 ZAPARDIEL DE LA RIBERA",         126,    12667.46,       18.71,     2957.92,       371.1,     8554.75,    1693.002,         136,           6,          41,  451229.557,
,"05901 SAN JUAN DE GREDOS",         266,    17684.76,       95.09,     2573.39,       170.5,    16673.58,     5038.88,         327,           5,         113, 1891920.464,
,"05902 SANTA MARIA DEL CUBILLO",         239,    12986.43,     2997.71,     6063.71,       38.42,    11796.27,    4394.465,         249,           8,         144, 1859698.569,
,"05903 DIEGO DEL CARPIO",         438,     7729.28,      457.14,      1750.4,       39.68,     7330.62,    3562.453,         456,           2,          79, 1140635.033,
,"05904 SANTIAGO DEL TORMES",         254,    17226.36,       47.98,     3257.58,       57.27,    12322.03,    2477.335,         257,           9,          72, 1638956.769,
,"05905 VILLANUEVA DE AVILA",         111,     3295.31,       18.64,      909.84,       10.27,     1900.52,     252.216,         174,           .,          99,      169716,
,"09001 ABAJAS",          42,     9039.96,     1785.45,     3467.09,       77.27,     6401.83,      56.528,          37,           1,          31,  783162.472,
,"09003 ADRADA DE HAZA",         105,     3741.05,     2224.22,     2952.98,      232.38,     3190.97,     202.429,         128,           1,          92,  751249.077,
,"09006 AGUAS CANDIDAS",         166,     4455.86,      210.08,      323.51,       58.89,       420.4,     400.152,         246,           3,         108,  219675.511,
,"09007 AGUILAR DE BUREBA",          87,     3363.52,     1993.79,     3202.85,       26.52,     3258.35,     242.734,          84,           1,          71,  650882.851,
,"09009 ALBILLOS",         116,     2943.66,      1734.1,      2464.1,      177.96,     2691.76,     739.387,         104,          15,          93,  841769.528,
,"09010 ALCOCERO DE MOLA",          36,     2363.73,     1016.24,     1500.02,        0.51,      1892.5,      48.422,          32,           2,          36,  339193.328,
,"09011 ALFOZ DE BRICIA",         175,    12642.34,      298.36,     2458.43,        1.28,     8521.98,    1832.661,         177,          16,          91,  711112.589,
,"09012 ALFOZ DE SANTA GADEA",         103,    10478.32,       25.08,     2453.67,        0.29,      6102.3,    2448.394,         135,           5,         118,  611055.013,
,"09013 ALTABLE",          57,     2246.57,     1476.07,     2229.12,         0.8,     2229.92,      20.988,          68,           .,          58,  490012.189,
,"09014 ALTOS (LOS)",         230,    38069.29,     6592.29,    12014.28,      202.72,    20231.69,    2008.098,         210,          19,         163, 2577077.959,
,"09016 AMEYUGO",          42,     2827.79,      809.19,     1239.81,       16.66,     1440.98,     206.238,          43,           4,          36,  331883.499,
,"09017 ANGUIX",         199,     3451.92,      2059.1,     2885.33,        3.47,      2889.8,     119.121,         228,           3,         115,  981881.779,
,"09018 ARANDA DE DUERO",        1685,    22319.78,     10330.9,    12013.31,     3439.48,    15505.05,   34430.509,        2185,         211,         741,11330099.588,
,"09019 ARANDILLA",         129,     8486.81,     4190.87,     5726.27,      385.42,     6228.29,     2282.39,         128,           9,         135, 1779223.698,
,"09020 ARAUZO DE MIEL",         134,     15969.9,     2169.33,     3827.41,        9.87,     4836.75,     1753.37,         101,           1,          75,  925054.895,
,"09021 ARAUZO DE SALCE",          52,     3357.84,     1648.68,     2461.06,        21.8,     2482.86,      291.65,          55,           4,          43,  470198.783,
,"09022 ARAUZO DE TORRE",          88,     3418.99,     1610.67,     2467.62,       12.09,      2619.5,     148.308,          98,           1,          69,  496742.919,
,"09023 ARCOS",         229,     9249.53,     5591.14,     8646.95,       61.45,      9069.4,    1043.206,         182,           5,         132, 2027138.077,
,"09024 ARENILLAS DE RIOPISUERGA",         114,     6841.92,      4257.6,     6218.87,      528.28,     6768.61,     801.037,         112,           7,         144, 1664849.494,
,"09025 ARIJA",          34,     1237.02,           8,       159.5,           .,      977.02,       408.4,          41,           2,          49,  152707.301,
,"09026 ARLANZON",         161,    15202.13,     3310.15,     4707.12,       65.34,     6970.69,    1854.306,         176,          12,         133, 1524345.579,
,"09027 ARRAYA DE OCA",          43,     2782.85,      783.96,     1393.21,        0.02,     2318.49,      228.47,          38,           2,          22,  336937.605,
,"09029 ATAPUERCA",          89,     5400.91,     2199.71,      3986.2,        1.59,     4646.44,     307.818,          80,           3,          61,  779813.519,
,"09030 AUSINES (LOS)",          97,    10272.23,     2525.33,     5122.11,       18.27,     7268.88,     633.344,          92,           5,          63,   982415.56,
,"09032 AVELLANOSA DE MUÑO",         173,    13247.96,     9000.97,    11963.19,       56.07,    12091.03,    2720.146,         182,          23,         183, 3257722.482,
,"09033 BAHABON DE ESGUEVA",         115,      5733.8,     3259.32,      5025.7,        6.07,     5134.14,     877.756,         105,           3,          98, 1061840.919,
,"09034 BALBASES (LOS)",         200,    12985.75,     8180.05,    12294.83,       50.71,    12389.54,    1066.842,         177,           8,         114, 2643131.446,
,"09035 BAÑOS DE VALDEARADOS",         536,     9775.21,     5048.89,     7309.94,       31.32,     7382.01,     471.932,         650,           8,         200, 1828399.465,
,"09036 BAÑUELOS DE BUREBA",          60,     4520.29,     2126.46,     2999.13,        3.74,     3120.37,      56.424,          53,           2,          62,  602390.151,
,"09037 BARBADILLO DE HERREROS",         163,    19112.09,        12.3,     1336.13,        0.39,     3582.63,      681.82,         161,           2,          11,  232637.301,
,"09038 BARBADILLO DEL MERCADO",         103,     3535.06,      790.33,     1461.08,       65.97,     2749.16,    1553.514,         109,           8,          40,  717661.749,
,"09039 BARBADILLO DEL PEZ",          78,     6361.88,           .,      983.26,        0.02,     5160.01,     704.264,          69,           3,           2,  316981.267,
,"09041 BARRIO DE MUÑO",          30,     1049.03,      580.97,      858.06,        59.1,      923.16,         218,          22,           3,          23,  289978.212,
,"09043 BARRIOS DE BUREBA (LOS)",         283,     11386.1,     6490.74,    10184.61,       20.17,    10473.41,     802.866,         296,           5,         239, 1766793.787,
,"09044 BARRIOS DE COLINA",          59,     4516.23,     2171.95,     3171.12,        6.52,     3374.48,       885.4,          51,           7,          46,  663149.995,
,"09045 BASCONCILLOS DEL TOZO",         255,    28736.13,     7460.92,    12673.13,      580.56,    25044.37,    1903.087,         307,          18,         238, 3465124.171,
,"09046 BASCUÑANA",          65,     2157.14,     1019.79,     1359.86,        85.4,     1464.83,     210.178,          82,           2,          72,  447733.086,
,"09047 BELBIMBRE",          60,     2528.58,     1494.15,     2201.69,       82.24,     2403.83,      227.77,          47,           2,          50,  597534.815,
,"09048 BELORADO",         640,    33718.44,     9642.26,    17937.44,      582.49,    25119.55,    3186.763,         590,          13,         442, 4233868.324,
,"09050 BERBERANA",          58,     6860.36,      702.66,     1250.37,        4.15,     2043.86,     739.933,          61,          12,          31,  331818.391,
,"09051 BERLANGAS DE ROA",         182,      3529.8,     1949.77,      390.85,     2478.44,     2926.64,      183.48,         190,          18,         208, 1629961.472,
,"09052 BERZOSA DE BUREBA",          62,     2445.52,     1469.89,     2407.22,        0.27,     2407.49,       2.924,          60,           1,          40,  449347.988,
,"09054 BOZOO",          89,     8062.38,     1471.62,     2879.74,      152.54,     3955.24,     439.054,          88,           6,          68,  652887.142,
,"09055 BRAZACORTA",          81,      5490.3,     2411.12,     3326.29,       47.35,     4303.85,     227.711,          80,           3,          72,  699700.398,
,"09056 BRIVIESCA",         620,    22029.52,    10667.79,    17320.74,       28.97,    20504.29,    5520.714,         613,          20,         366, 3970673.549,
,"09057 BUGEDO",          45,     2741.15,     1138.36,     1736.31,       82.81,     2003.52,     279.677,          48,           4,          59,   530878.75,
,"09058 BUNIEL",          92,      2678.7,     1619.32,     2411.89,       129.6,      2586.3,     441.107,          88,           7,          67,  647985.602,
,"09059 BURGOS",         597,    24366.54,       12211,    17393.93,      444.55,    18310.88,     5398.25,         650,          41,         415,  5083313.07,
,"09060 BUSTO DE BUREBA",         221,     5124.03,     3509.89,     5062.74,        1.55,     5077.32,     258.946,         219,           2,         124, 1130855.302,
,"09061 CABAÑES DE ESGUEVA",         209,     6408.16,     3854.91,      5657.3,       98.37,     5914.75,    2983.775,         232,           6,         159, 1702635.851,
,"09062 CABEZON DE LA SIERRA",          62,     3961.96,        0.04,       12.99,        0.06,     1629.14,      476.51,          63,           2,           6,  222520.688,
,"09063 CAVIA",         121,     3636.63,     2155.31,     2878.07,       390.8,     3352.04,     3965.99,         125,           3,         123, 1548785.879,
,"09064 CALERUEGA",         176,       12888,     7020.67,    10207.31,       16.49,    10744.13,     760.398,         229,          21,         134, 2011438.064,
,"09065 CAMPILLO DE ARANDA",         133,     5629.25,     3451.17,     4976.88,       71.03,     5094.38,     366.984,         147,           6,         101,  940039.451,
,"09066 CAMPOLARA",          41,     2587.57,      604.54,     1127.51,           .,     1300.63,          86,          38,           1,          13,  186390.365,
,"09067 CANICOSA DE LA SIERRA",         356,     5917.05,        1.01,      510.15,        1.06,     1290.23,    1226.584,         358,           4,          21,  317424.927,
,"09068 CANTABRANA",          87,      551.43,       46.86,       38.63,        15.5,       57.13,           6,          99,           1,          37,   46190.382,
,"09070 CARAZO",          69,        5381,      255.12,     1092.05,        0.44,     3484.55,     858.205,          69,           1,          21,  392468.753,
,"09071 CARCEDO DE BUREBA",          46,     9480.23,     1072.98,     2537.86,        1.85,     6392.89,     416.382,          32,           5,          26,  517442.527,
,"09072 CARCEDO DE BURGOS",          93,     4828.82,     1927.21,     2763.18,        4.09,     3500.92,     182.005,          88,           1,          66,  645447.265,
,"09073 CARDEÑADIJO",          36,     2183.08,      1065.1,     1752.99,        1.81,     1922.33,        27.1,          32,           1,          28,  349935.745,
,"09074 CARDEÑAJIMENO",          68,     3153.98,     1401.23,     2368.23,       23.78,     2483.17,     383.765,          66,           2,          67,  515408.175,
,"09075 CARDEÑUELA RIOPICO",          30,     2289.68,      647.84,     1318.33,         1.5,     1335.95,      23.154,          26,           2,          20,  199002.399,
,"09076 CARRIAS",          74,     3797.06,     1740.56,      2523.4,        6.16,     2528.67,     101.468,          63,           2,          70,  606925.705,
,"09077 CASCAJARES DE BUREBA",          55,     1984.47,     1017.62,     1607.63,        0.25,     1787.51,       74.96,          49,           1,          37,   363236.25,
,"09078 CASCAJARES DE LA SIERRA",          86,     2841.89,       87.04,      330.26,        0.07,      708.61,       130.3,          89,           1,           4,   66538.762,
,"09079 CASTELLANOS DE CASTRO",          41,     3580.99,     2255.68,     3427.26,       40.56,     3480.44,      296.98,          58,           .,          71,   777519.88,
,"09082 CASTILDELGADO",          41,      1504.5,      987.84,      1317.4,          94,     1415.06,      65.075,          32,           5,          54,  406527.275,
,"09083 CASTIL DE PEONES",          39,     2981.36,      680.83,      1231.3,        0.26,     2475.56,     562.224,          31,           1,          16,  403793.134,
,"09084 CASTRILLO DE LA REINA",         208,     4531.07,       196.5,      643.58,        0.87,     2375.36,    2222.888,         202,           2,          59,  724395.739,
,"09085 CASTRILLO DE LA VEGA",         513,      5844.9,     3150.63,      3587.9,     1213.47,     4805.37,      357.74,         627,          15,         321, 1676795.193,
,"09086 CASTRILLO DEL VAL",          52,     5931.24,     1865.37,     3082.45,       33.91,     3823.84,     274.798,          58,           3,          55,  650191.272,
,"09088 CASTRILLO DE RIOPISUERGA",          55,     3508.25,      2013.8,     2577.73,       95.19,     2870.32,     271.458,          56,           1,          59,  657433.663,
,"09090 CASTRILLO MATAJUDIOS",          67,     3595.01,     1945.24,     3120.67,        3.11,     3184.32,     230.612,          73,           1,          47,  602963.831,
,"09091 CASTROJERIZ",         439,    36784.65,    21715.58,    33380.02,      390.53,    34177.49,    3457.238,         417,           8,         460, 7076888.156,
,"09093 CAYUELA",          96,     3966.38,     2022.33,     3315.63,      233.02,     3649.97,    1454.848,          90,           3,         120, 1060522.568,
,"09094 CEBRECOS",          55,     3799.45,     1765.19,     2674.38,         0.1,     2777.62,    3145.729,          60,           3,          52,  855475.292,
,"09095 CELADA DEL CAMINO",          66,     2450.76,     1564.75,     2127.49,      108.18,     2311.94,       41.89,          70,           2,          58,  599929.165,
,"09098 CEREZO DE RIO TIRON",         318,    15918.37,     6993.76,    11687.77,      246.67,    13512.74,     858.601,         304,           5,         280, 2598165.171,
,"09100 CERRATON DE JUARROS",          75,     4972.05,     1600.98,     2818.29,        0.66,     3429.09,     169.741,          67,           3,          42,  557644.989,
,"09101 CIADONCHA",         107,     4508.15,     2848.62,     4360.12,       41.44,     4448.23,    1668.448,         121,           2,          86, 1259473.764,
,"09102 CILLAPERLATA",          24,     3115.83,      429.69,      628.25,        2.78,       671.7,        66.1,          28,           1,          14,  146125.172,
,"09103 CILLERUELO DE ABAJO",         251,    14579.28,     9296.89,    13574.03,         5.4,    13672.77,     646.068,         270,          10,         219, 2916168.339,
,"09104 CILLERUELO DE ARRIBA",          74,     4867.98,     2640.47,     3906.79,        1.79,     3908.58,     211.666,          73,           1,          67,  834632.612,
,"09105 CIRUELOS DE CERVERA",         127,    11140.45,     3129.31,     5937.65,        3.55,     6454.65,      735.23,         141,           8,          70, 1103095.305,
,"09108 COGOLLOS",         130,     6201.27,     3458.02,     5723.51,        1.35,     5838.68,    1775.501,         113,           8,          63, 1363751.438,
,"09109 CONDADO DE TREVIÑO",         731,    53222.73,     17529.7,    24533.17,     1892.91,    26972.52,    2025.541,         833,          60,        1027, 8093070.272,
,"09110 CONTRERAS",          81,    10073.26,      492.59,     1495.66,        2.53,     2909.62,     511.233,          97,           2,          32,  469828.761,
,"09112 CORUÑA DEL CONDE",         129,     6548.16,     2257.26,     3149.04,      142.49,     3894.34,     538.431,         128,           2,         110,   931749.82,
,"09113 COVARRUBIAS",         247,     8577.86,     1060.11,     2575.26,       27.28,     3655.54,      4676.2,         283,          14,         118, 1344764.396,
,"09114 CUBILLO DEL CAMPO",          40,     5679.16,     1265.24,     2699.95,       29.53,     3830.44,    2782.593,          39,           9,          34,  749749.982,
,"09115 CUBO DE BUREBA",          85,     2614.33,     1802.24,     2603.19,        0.87,     2606.07,      40.326,          81,           .,          79,  586457.761,
,"09117 CUEVA DE ROA (LA)",          94,     1214.48,       764.9,      126.52,     1005.23,     1141.26,      56.299,         121,           1,         104,  573427.097,
,"09119 CUEVAS DE SAN CLEMENTE",          30,     4142.29,     1189.15,     2014.37,         0.1,     3065.19,     142.112,          30,           2,          15,  288733.726,
,"09120 ENCIO",          49,     4044.86,      909.15,     1475.71,        6.68,     1883.82,     114.408,          45,           4,          46,  342568.703,
,"09122 ESPINOSA DE CERVERA",          64,     7643.72,     1944.19,     3655.39,       33.35,     4602.24,     240.981,          72,           2,          37,  617207.873,
,"09123 ESPINOSA DEL CAMINO",          31,     1551.25,      561.12,      853.06,        0.18,      1135.3,      185.12,          30,           1,          14,  225870.216,
,"09124 ESPINOSA DE LOS MONTEROS",         793,    39132.86,      139.77,     4059.51,       85.54,    12483.69,   13263.656,        1129,           9,         688, 4144345.582,
,"09125 ESTEPAR",         497,    25794.11,    15285.07,    22635.58,      822.23,    24316.72,    5811.248,         516,           7,         583, 6231830.659,
,"09127 FONTIOSO",          70,     6310.53,     3471.07,     5656.95,        1.17,     5657.12,     269.495,          66,          12,          51,   998636.44,
,"09128 FRANDOVINEZ",          54,     2037.71,     1235.69,     1742.61,      147.45,     1995.73,     261.617,          57,           2,          57,   604885.26,
,"09129 FRESNEDA DE LA SIERRA TIRON",          64,    13335.08,      222.16,      845.88,       48.96,     4192.38,    1515.818,          70,           2,          62,  447205.508,
,"09130 FRESNEÑA",         104,     4226.14,     1565.76,     2520.79,      115.26,     2945.27,     896.786,         111,           1,         110,  785642.923,
,"09131 FRESNILLO DE LAS DUEÑAS",          37,     2894.36,     1989.63,      802.78,     2061.28,     2867.06,    2235.356,          35,          50,          76, 1923063.964,
,"09132 FRESNO DE RIO TIRON",         154,     3281.44,     2132.05,     2862.49,      186.23,     3240.81,    3526.042,         153,           5,         174, 1735388.709,
,"09133 FRESNO DE RODILLA",          33,      2364.4,      892.15,     1442.38,        0.14,     1557.59,       66.59,          33,           1,          24,  296363.969,
,"09134 FRIAS",          90,     7517.09,     1268.03,     3353.46,      124.46,     5368.64,     194.264,          80,          16,          88,  665106.494,
,"09135 FUENTEBUREBA",          69,     2233.91,     1581.13,     2228.51,        0.39,     2229.52,      26.004,          74,           1,          53,  485452.192,
,"09136 FUENTECEN",         252,     4083.51,     2417.46,     2839.68,      705.29,     3546.97,     180.751,         262,           .,         147, 1217266.062,
,"09137 FUENTELCESPED",         308,     5968.18,     3056.34,     4964.89,        41.2,     5334.09,     896.851,         363,           8,         141, 1159791.102,
,"09138 FUENTELISENDO",          80,     2299.53,     1496.37,     1982.04,       24.87,     2116.91,       64.54,         135,           5,          58,  431291.767,
,"09139 FUENTEMOLINOS",          81,     2417.07,     1335.55,     2007.45,      146.72,     2214.53,     131.208,         127,           1,          66,  477735.681,
,"09140 FUENTENEBRO",         152,     7704.22,     2212.94,     4736.97,        46.1,     6505.14,    1684.881,         187,          18,          97, 1128439.754,
,"09141 FUENTESPINA",         233,     2247.21,     1201.53,     1624.71,      127.62,     1758.33,    3739.751,         375,           5,         134, 1643788.245,
,"09143 GALBARROS",          45,     6669.01,     1658.55,     2815.35,         4.6,     3792.79,     225.483,          45,           5,          37,   590456.51,
,"09144 GALLEGA (LA)",          52,        4894,       74.13,      917.87,        0.07,     1841.99,       360.3,          58,           2,          16,  249954.245,
,"09148 GRIJALBA",          45,     4929.77,     2943.98,     4643.82,       18.01,     4735.14,       952.3,          42,          13,          40,  1041577.75,
,"09149 GRISALEÑA",          74,     3163.07,     1842.27,     2509.75,        0.73,     2790.48,     336.116,          68,           3,          65,  605298.392,
,"09151 GUMIEL DE IZAN",         592,     15182.9,     7528.55,    11710.49,       66.19,    11777.55,     718.854,         982,          36,         322, 2655302.478,
,"09152 GUMIEL DE MERCADO",         289,    15175.95,      7713.6,     8777.22,     2706.28,    11770.07,    4959.605,         262,          20,         186, 5105462.147,
,"09154 HACINAS",         171,     5173.76,      246.97,       873.4,      400.99,     3682.67,     389.126,         200,           1,          49,  177836.799,
,"09155 HAZA",         215,     12308.6,     6448.97,    10717.12,      639.83,    11406.26,     1186.44,         292,           3,         180, 2673131.528,
,"09159 HONTANAS",          42,     2469.54,     1685.74,     2346.34,        1.31,     2367.92,      554.18,          61,           1,          51,  659232.611,
,"09160 HONTANGAS",         101,     2769.79,     1473.79,     1867.09,      322.75,     2253.84,     786.687,         120,           1,          96,  678760.243,
,"09162 HONTORIA DE LA CANTERA",          64,     4955.05,     2255.61,     3220.98,        0.43,     3692.23,     2677.84,          66,           8,          55, 1069546.495,
